0 0 0
1 1 0
2 1.41141 0.065984
3 1.73745 0.0771787
4 1.99931 0.0879632
5 2.23565 0.0926689
6 2.45668 0.102719
7 2.63534 0.104731
8 2.80018 0.108889
9 2.9776 0.109475
10 3.15716 0.109156
11 3.32428 0.123745
12 3.46478 0.121306
13 3.62079 0.126652
14 3.75103 0.124095
15 3.8763 0.128233
16 3.97471 0.121286
17 4.11272 0.130525
18 4.24142 0.144516
19 4.36763 0.146286
20 4.4855 0.131311
21 4.55733 0.133624
22 4.70111 0.148649
23 4.79563 0.147832
24 4.87922 0.14077
25 5.02405 0.142119
26 5.10477 0.155038
27 5.19084 0.13947
28 5.22567 0.155719
29 5.38826 0.146712
30 5.50461 0.150081
31 5.54107 0.154229
32 5.64464 0.168525
33 5.72389 0.155375
34 5.82034 0.161589
35 5.92598 0.146379
36 6.03175 0.16273
37 6.05194 0.157725
38 6.17633 0.148713
39 6.24594 0.163559
40 6.34179 0.159239
41 6.33116 0.177692
42 6.4447 0.168302
43 6.52559 0.17007
44 6.68692 0.168892
45 6.6576 0.163525
46 6.77058 0.162359
47 6.85879 0.179893
48 6.91134 0.170601
49 7.0471 0.176911
50 7.04198 0.168281
51 7.1916 0.163639
52 7.19755 0.173718
53 7.25146 0.179584
54 7.352 0.179619
55 7.40525 0.175503
56 7.45259 0.182698
57 7.49805 0.190059
58 7.61583 0.178832
59 7.74331 0.189321
60 7.75358 0.177879
61 7.81633 0.17946
62 7.85768 0.173371
63 7.90152 0.184907
64 8.05585 0.19037
65 8.01882 0.176241
66 8.08109 0.188517
67 8.1339 0.180403
68 8.16612 0.176099
69 8.36093 0.192003
70 8.33688 0.18823
71 8.39596 0.178925
72 8.50254 0.200775
73 8.52941 0.18466
74 8.60102 0.192777
75 8.71686 0.196707
76 8.69717 0.19493
77 8.81797 0.20026
78 8.83301 0.188024
79 8.86233 0.192429
80 8.95505 0.204954
81 8.95468 0.193894
82 9.0468 0.194958
83 9.12099 0.213925
84 9.14681 0.201118
85 9.23172 0.183734
86 9.33883 0.202699
87 9.3696 0.204306
88 9.40881 0.190127
89 9.42073 0.200044
90 9.49222 0.20285
91 9.55229 0.201418
92 9.5993 0.202011
93 9.66519 0.189064
94 9.72407 0.21004
95 9.78515 0.205556
96 9.79794 0.221264
97 9.79122 0.195077
98 9.90351 0.20878
99 9.90554 0.223835
