1 0.380022 0.0138274 -0.688456 0.650818
11 -0.370679 0.00513788 -0.746772 0.675851
21 -0.416404 0.00291193 -0.74975 0.623223
31 -0.409244 0.00331359 -0.805544 0.595788
41 -0.424351 0.00284846 -0.767237 0.627513
51 -0.42075 0.0027341 -0.744128 0.635386
61 -0.423484 0.00301786 -0.757665 0.631445
71 -0.426121 0.00264314 -0.761474 0.608281
81 -0.431164 0.002624 -0.765265 0.638711
91 -0.428854 0.00341364 -0.800817 0.646004
101 -0.439335 0.00253314 -0.789494 0.624915
111 -0.431339 0.00251957 -0.760768 0.600416
121 -0.440208 0.00256801 -0.793789 0.624692
131 -0.439458 0.00253574 -0.783435 0.631662
141 -0.432235 0.00288008 -0.770059 0.650053
151 -0.439145 0.00282423 -0.800696 0.637267
161 -0.43656 0.00242581 -0.784095 0.606278
171 -0.43534 0.00259179 -0.787381 0.605381
181 -0.437767 0.00243861 -0.780614 0.607263
191 -0.437023 0.00253377 -0.778893 0.61381
201 -0.440997 0.00263968 -0.797245 0.635605
211 -0.440268 0.00272596 -0.8177 0.62168
221 -0.440493 0.00271444 -0.815948 0.623638
231 -0.441337 0.00241189 -0.792712 0.608935
241 -0.43964 0.00238072 -0.776355 0.616447
251 -0.441238 0.00257233 -0.791376 0.62577
261 -0.441984 0.00252784 -0.797958 0.616143
271 -0.440917 0.00243159 -0.79366 0.612268
281 -0.441791 0.00261265 -0.810585 0.619843
291 -0.437519 0.00308512 -0.819332 0.637169
301 -0.441577 0.00255095 -0.806324 0.612871
311 -0.435916 0.00311537 -0.835557 0.623695
321 -0.440814 0.00238825 -0.786035 0.612363
331 -0.437885 0.00236705 -0.780172 0.606667
341 -0.441477 0.00255083 -0.790643 0.630778
351 -0.441401 0.00270078 -0.805838 0.631307
361 -0.439405 0.00279297 -0.796376 0.639485
371 -0.439831 0.00277363 -0.78951 0.639833
381 -0.441226 0.00254082 -0.784789 0.63219
391 -0.442259 0.00239296 -0.791331 0.615124
401 -0.441503 0.00239863 -0.79349 0.608764
411 -0.440617 0.00239614 -0.787829 0.609672
421 -0.437791 0.00247281 -0.76616 0.640363
431 -0.441454 0.00263057 -0.795254 0.631535
441 -0.441352 0.00238995 -0.785445 0.613977
451 -0.439454 0.0027324 -0.800489 0.628387
461 -0.437256 0.00271532 -0.83264 0.609383
471 -0.439886 0.0026579 -0.826932 0.611769
481 -0.438688 0.00267914 -0.824993 0.606322
491 -0.43878 0.00248059 -0.808346 0.595988
